Headword|POS|Gender	TLFi sense Ids	TLFi senses	Sina	Karen	Wiktionnaire senses	Wiktionnaire sense Ids
	UND-1	Accumulation d'intérêts ou de bénéfices de manière à former ou à grossir un capital.	none	none	"(Sylviculture) Caractère d’une gestion forestière aboutissant, à mesure des prélèvements, à une augmentation des bois sur pied, en volume ou en surface terrière."	http://kaiko.getalp.org/dbnary/fra/__ws_3_capitalisation__nom__1
	UND-2	Estimation de la valeur d'une rente ou d'un droit productif de revenu d'après les arrérages qui sont payés	none	none	(Rare) (Typographie) Action de mettre en lettres capitales.	http://kaiko.getalp.org/dbnary/fra/__ws_2_capitalisation__nom__1
	UND-2	Estimation de la valeur d'une rente ou d'un droit productif de revenu d'après les arrérages qui sont payés	related	none	(Finance) Action de capitaliser.	http://kaiko.getalp.org/dbnary/fra/__ws_1_capitalisation__nom__1
	UND-2	Estimation de la valeur d'une rente ou d'un droit productif de revenu d'après les arrérages qui sont payés	none	none	"(Sylviculture) Caractère d’une gestion forestière aboutissant, à mesure des prélèvements, à une augmentation des bois sur pied, en volume ou en surface terrière."	http://kaiko.getalp.org/dbnary/fra/__ws_3_capitalisation__nom__1
coïncidence|noun|feminine						
https://www.cnrtl.fr/definition/20045						
http://kaiko.getalp.org/dbnary/fra/coïncidence__nom__1						
	B._UND-2	Servant à détecter la simultanéité de deux ou plusieurs phénomènes.	none	none	(Géométrie) État de deux figures géométriques qui s’ajustent l’une sur l’autre.	http://kaiko.getalp.org/dbnary/fra/__ws_1_coïncidence__nom__1
	B._UND-2	Servant à détecter la simultanéité de deux ou plusieurs phénomènes.	exact	none	(Figuré) État des choses qui arrivent en même temps.	http://kaiko.getalp.org/dbnary/fra/__ws_2_coïncidence__nom__1
	B._UND-3	Simultanéité fortuite (de deux ou plusieurs événements ou circonstances).	none	none	(Géométrie) État de deux figures géométriques qui s’ajustent l’une sur l’autre.	http://kaiko.getalp.org/dbnary/fra/__ws_1_coïncidence__nom__1
	B._UND-3	Simultanéité fortuite (de deux ou plusieurs événements ou circonstances).	related	exact	(Figuré) État des choses qui arrivent en même temps.	http://kaiko.getalp.org/dbnary/fra/__ws_2_coïncidence__nom__1
	UND-1	"Identité de forme et de dimension qui les fait s'ajuster point par point, se confondre exactement."	exact	exact	(Géométrie) État de deux figures géométriques qui s’ajustent l’une sur l’autre.	http://kaiko.getalp.org/dbnary/fra/__ws_1_coïncidence__nom__1
	UND-1	"Identité de forme et de dimension qui les fait s'ajuster point par point, se confondre exactement."	none	none	(Figuré) État des choses qui arrivent en même temps.	http://kaiko.getalp.org/dbnary/fra/__ws_2_coïncidence__nom__1
	UND-5	"Fait de coïncider, d'avoir lieu en même temps, d'être identique en date ou en durée."	none	none	(Géométrie) État de deux figures géométriques qui s’ajustent l’une sur l’autre.	http://kaiko.getalp.org/dbnary/fra/__ws_1_coïncidence__nom__1
	UND-5	"Fait de coïncider, d'avoir lieu en même temps, d'être identique en date ou en durée."	exact	related	(Figuré) État des choses qui arrivent en même temps.	http://kaiko.getalp.org/dbnary/fra/__ws_2_coïncidence__nom__1
	UND-6	"Identité, correspondance exacte, accord."	none	none	(Géométrie) État de deux figures géométriques qui s’ajustent l’une sur l’autre.	http://kaiko.getalp.org/dbnary/fra/__ws_1_coïncidence__nom__1
	UND-6	"Identité, correspondance exacte, accord."	none	none	(Figuré) État des choses qui arrivent en même temps.	http://kaiko.getalp.org/dbnary/fra/__ws_2_coïncidence__nom__1
descendance|noun|feminine						
https://www.cnrtl.fr/definition/26359						
http://kaiko.getalp.org/dbnary/fra/descendance__nom__1						
	UND-1	"Fait de descendre, d'être issu d'une personne ou d'une famille."	exact	none	"Progéniture, ensemble des individus issus d’une reproduction sexuée ou asexuée."	http://kaiko.getalp.org/dbnary/fra/__ws_1_descendance__nom__1
	UND-1	"Fait de descendre, d'être issu d'une personne ou d'une famille."	related	none	"Lignée généalogique, lignage."	http://kaiko.getalp.org/dbnary/fra/__ws_2_descendance__nom__1
	UND-2	Ensemble de ceux qui sont issus d'une personne ou d'un groupe de personnes; postérité :	exact	exact	"Progéniture, ensemble des individus issus d’une reproduction sexuée ou asexuée."	http://kaiko.getalp.org/dbnary/fra/__ws_1_descendance__nom__1
	UND-2	Ensemble de ceux qui sont issus d'une personne ou d'un groupe de personnes; postérité :	related	related	"Lignée généalogique, lignage."	http://kaiko.getalp.org/dbnary/fra/__ws_2_descendance__nom__1
râle|noun|masculine						
https://www.cnrtl.fr/definition/71279						
http://kaiko.getalp.org/dbnary/fra/râle__nom__1						
	UND-1	"Oiseau échassier migrateur de la taille d'une bécasse, aux doigts allongés, aux mœurs très cachées, dont certaines espèces vivent dans les marais ou près des étangs et d'autres en plein champ."	none	none	"(Par analogie) Son, cri évoquant ce bruit."	http://kaiko.getalp.org/dbnary/fra/__ws_2_râle__nom__1
	UND-1	"Oiseau échassier migrateur de la taille d'une bécasse, aux doigts allongés, aux mœurs très cachées, dont certaines espèces vivent dans les marais ou près des étangs et d'autres en plein champ."	none	none	"Bruit rauque produit par la respiration quand elle est embarrassée, particulièrement chez les agonisants."	http://kaiko.getalp.org/dbnary/fra/__ws_1_râle__nom__1
	UND-1	"Oiseau échassier migrateur de la taille d'une bécasse, aux doigts allongés, aux mœurs très cachées, dont certaines espèces vivent dans les marais ou près des étangs et d'autres en plein champ."	none	none	"(Médecine) (En particulier) Bruit anormal que l’on perçoit, à l’auscultation, dans les voies respiratoires et ce quel qu’en soit la cause."	http://kaiko.getalp.org/dbnary/fra/__ws_1a_râle__nom__1
	UND-2	"Râle au bec court, au plumage brun jaunâtre _ les ailes étant brun-roux _ dont la chair est appréciée."	none	none	"(Par analogie) Son, cri évoquant ce bruit."	http://kaiko.getalp.org/dbnary/fra/__ws_2_râle__nom__1
	UND-2	"Râle au bec court, au plumage brun jaunâtre _ les ailes étant brun-roux _ dont la chair est appréciée."	none	none	"Bruit rauque produit par la respiration quand elle est embarrassée, particulièrement chez les agonisants."	http://kaiko.getalp.org/dbnary/fra/__ws_1_râle__nom__1
	UND-2	"Râle au bec court, au plumage brun jaunâtre _ les ailes étant brun-roux _ dont la chair est appréciée."	none	none	"(Médecine) (En particulier) Bruit anormal que l’on perçoit, à l’auscultation, dans les voies respiratoires et ce quel qu’en soit la cause."	http://kaiko.getalp.org/dbnary/fra/__ws_1a_râle__nom__1
	UND_1	"Râle au bec long, au plumage brun et à flancs barrés de noir et de blanc."	none	none	"(Par analogie) Son, cri évoquant ce bruit."	http://kaiko.getalp.org/dbnary/fra/__ws_2_râle__nom__1
	UND_1	"Râle au bec long, au plumage brun et à flancs barrés de noir et de blanc."	none	none	"Bruit rauque produit par la respiration quand elle est embarrassée, particulièrement chez les agonisants."	http://kaiko.getalp.org/dbnary/fra/__ws_1_râle__nom__1
	UND_1	"Râle au bec long, au plumage brun et à flancs barrés de noir et de blanc."	none	none	"(Médecine) (En particulier) Bruit anormal que l’on perçoit, à l’auscultation, dans les voies respiratoires et ce quel qu’en soit la cause."	http://kaiko.getalp.org/dbnary/fra/__ws_1a_râle__nom__1
bannissement|noun|masculine						
https://www.cnrtl.fr/definition/11377						
http://kaiko.getalp.org/dbnary/fra/bannissement__nom__1						
	A._UND-1	"Peine politique criminelle infamante consistant dans la défense, pour le condamné, de résider sur le territoire national pendant une durée déterminée"	none	related	"Action de bannir, d’expulser une personne en lui interdisant de revenir ou résultat de cette action."	http://kaiko.getalp.org/dbnary/fra/__ws_1_bannissement__nom__1
	A._UND-2	"Simple mesure d'éloignement prise à l'égard de certaines personnes, notamment des membres de familles ayant régné"	related	related	"Action de bannir, d’expulser une personne en lui interdisant de revenir ou résultat de cette action."	http://kaiko.getalp.org/dbnary/fra/__ws_1_bannissement__nom__1
	UND-4	Éloignement imposé de quelque chose	related	none	"Action de bannir, d’expulser une personne en lui interdisant de revenir ou résultat de cette action."	http://kaiko.getalp.org/dbnary/fra/__ws_1_bannissement__nom__1
	UND_1	Action de bannir; état qui en résulte	exact	exact	"Action de bannir, d’expulser une personne en lui interdisant de revenir ou résultat de cette action."	http://kaiko.getalp.org/dbnary/fra/__ws_1_bannissement__nom__1
légitimation|noun|feminine						
https://www.cnrtl.fr/definition/48085						
http://kaiko.getalp.org/dbnary/fra/légitimation__nom__1						
	UND-1	"Bénéfice de la loi par l'effet duquel la légitimité (...) est conférée à un enfant illégitime (naturel simple, incestueux ou même adultérin), et qui a pour conditions la reconnaissance de l'enfant par ses père et mère et leur mariage"	none	exact	"(Par extension) (Vieilli) Action de légitimer, par le mariage entre le père et la mère."	http://kaiko.getalp.org/dbnary/fra/__ws_2_légitimation__nom__1
	UND-1	"Bénéfice de la loi par l'effet duquel la légitimité (...) est conférée à un enfant illégitime (naturel simple, incestueux ou même adultérin), et qui a pour conditions la reconnaissance de l'enfant par ses père et mère et leur mariage"	none	none	"(Plus courant) Action de prétendre légitime, un fait, une action, qui ne le paraît pas."	http://kaiko.getalp.org/dbnary/fra/__ws_4_légitimation__nom__1
	UND-1	"Bénéfice de la loi par l'effet duquel la légitimité (...) est conférée à un enfant illégitime (naturel simple, incestueux ou même adultérin), et qui a pour conditions la reconnaissance de l'enfant par ses père et mère et leur mariage"	exact	none	"(Vieilli) Changement d’état d’un enfant naturel que ses père et mère reconnaissent, et qui acquiert par là les droits des enfants nés dans le mariage."	http://kaiko.getalp.org/dbnary/fra/__ws_1_légitimation__nom__1
	UND-1	"Bénéfice de la loi par l'effet duquel la légitimité (...) est conférée à un enfant illégitime (naturel simple, incestueux ou même adultérin), et qui a pour conditions la reconnaissance de l'enfant par ses père et mère et leur mariage"		none	"Reconnaissance authentique et juridique des pouvoirs d’un envoyé, d’un mandataire, etc."	http://kaiko.getalp.org/dbnary/fra/__ws_3_légitimation__nom__1
	UND_1	Action de légitimer; résultat de l'action.	related	none	"(Par extension) (Vieilli) Action de légitimer, par le mariage entre le père et la mère."	http://kaiko.getalp.org/dbnary/fra/__ws_2_légitimation__nom__1
	UND_1	Action de légitimer; résultat de l'action.	exact	related	"(Plus courant) Action de prétendre légitime, un fait, une action, qui ne le paraît pas."	http://kaiko.getalp.org/dbnary/fra/__ws_4_légitimation__nom__1
	UND_1	Action de légitimer; résultat de l'action.	none	none	"(Vieilli) Changement d’état d’un enfant naturel que ses père et mère reconnaissent, et qui acquiert par là les droits des enfants nés dans le mariage."	http://kaiko.getalp.org/dbnary/fra/__ws_1_légitimation__nom__1
	UND_1	Action de légitimer; résultat de l'action.	none	none	"Reconnaissance authentique et juridique des pouvoirs d’un envoyé, d’un mandataire, etc."	http://kaiko.getalp.org/dbnary/fra/__ws_3_légitimation__nom__1
politesse|noun|feminine						
https://www.cnrtl.fr/definition/66247						
http://kaiko.getalp.org/dbnary/fra/politesse__nom__1						
	A._1.UND-1	Respect des bonnes manières non seulement dicté par les usages mais par des sentiments sincères.	related	related	"Bonne manière de vivre, d’agir ou de parler avec quelqu’un, civile, honnête ou courtoise."	http://kaiko.getalp.org/dbnary/fra/__ws_1_politesse__nom__1
	A._1.UND-1	Respect des bonnes manières non seulement dicté par les usages mais par des sentiments sincères.	related	none	Actions conformes à la politesse.	http://kaiko.getalp.org/dbnary/fra/__ws_2_politesse__nom__1
	A._UND-4	"Respect des bonnes manières, des règles de la bienséance; bonne éducation."	exact	related	"Bonne manière de vivre, d’agir ou de parler avec quelqu’un, civile, honnête ou courtoise."	http://kaiko.getalp.org/dbnary/fra/__ws_1_politesse__nom__1
	A._UND-4	"Respect des bonnes manières, des règles de la bienséance; bonne éducation."	related	none	Actions conformes à la politesse.	http://kaiko.getalp.org/dbnary/fra/__ws_2_politesse__nom__1
	A._UND-5	"Civilisation, culture, raffinement d'une société."	exact	none	"Bonne manière de vivre, d’agir ou de parler avec quelqu’un, civile, honnête ou courtoise."	http://kaiko.getalp.org/dbnary/fra/__ws_1_politesse__nom__1
	A._UND-5	"Civilisation, culture, raffinement d'une société."	related	none	Actions conformes à la politesse.	http://kaiko.getalp.org/dbnary/fra/__ws_2_politesse__nom__1
	B._UND-7	Avoir à l'égard de quelqu'un le même comportement que celui qu'il a eu à notre égard.	none	none	"Bonne manière de vivre, d’agir ou de parler avec quelqu’un, civile, honnête ou courtoise."	http://kaiko.getalp.org/dbnary/fra/__ws_1_politesse__nom__1
	B._UND-7	Avoir à l'égard de quelqu'un le même comportement que celui qu'il a eu à notre égard.	none	none	Actions conformes à la politesse.	http://kaiko.getalp.org/dbnary/fra/__ws_2_politesse__nom__1
	UND-8	"Action, propos dénotant une bonne éducation, le respect des règles de la bienséance."	related	none	"Bonne manière de vivre, d’agir ou de parler avec quelqu’un, civile, honnête ou courtoise."	http://kaiko.getalp.org/dbnary/fra/__ws_1_politesse__nom__1
	UND-8	"Action, propos dénotant une bonne éducation, le respect des règles de la bienséance."	exact	related	Actions conformes à la politesse.	http://kaiko.getalp.org/dbnary/fra/__ws_2_politesse__nom__1
bousiller|verb|						
https://www.cnrtl.fr/definition/14081						
http://kaiko.getalp.org/dbnary/fra/bousiller__verb__2						
	I._UND-1	"Maçonner, construire en bousillage."	none	none	(Figuré) (Familier) Exécuter un ouvrage avec négligence.	
	I._UND-1	"Maçonner, construire en bousillage."	none	none	"(Transitif) (Familier) Casser, détruire, mettre hors d’usage."	
	I._UND-1	"Maçonner, construire en bousillage."	none	none	Tuer.	
	I._UND-1	"Maçonner, construire en bousillage."	none	none	"(Figuré) Détruire, ravager moralement."	
	I._UND-2	Abîmer	none	none	(Figuré) (Familier) Exécuter un ouvrage avec négligence.	
	I._UND-2	Abîmer	exact	related	"(Transitif) (Familier) Casser, détruire, mettre hors d’usage."	
	I._UND-2	Abîmer	none	none	Tuer.	
	I._UND-2	Abîmer	none	related	"(Figuré) Détruire, ravager moralement."	
	II._UND-4	Exécuter un travail trop vite et mal.	exact	exact	(Figuré) (Familier) Exécuter un ouvrage avec négligence.	
	II._UND-4	Exécuter un travail trop vite et mal.	none	none	"(Transitif) (Familier) Casser, détruire, mettre hors d’usage."	
	II._UND-4	Exécuter un travail trop vite et mal.	none	none	Tuer.	
	II._UND-4	Exécuter un travail trop vite et mal.	none	none	"(Figuré) Détruire, ravager moralement."	
	II._UND-5	Tuer.	none	none	(Figuré) (Familier) Exécuter un ouvrage avec négligence.	
	II._UND-5	Tuer.	none	none	"(Transitif) (Familier) Casser, détruire, mettre hors d’usage."	
	II._UND-5	Tuer.	exact	exact	Tuer.	
	II._UND-5	Tuer.	none	related	"(Figuré) Détruire, ravager moralement."	
versifier|verb|						
https://www.cnrtl.fr/definition/89641						
http://kaiko.getalp.org/dbnary/fra/versifier__verb__1						
	UND-1	"Composer, écrire des vers."	exact	exact	Faire des vers.	
	UND-2	Mettre en vers.	exact	related	Faire des vers.	
synchroniser|verb|						
https://www.cnrtl.fr/definition/83035						
http://kaiko.getalp.org/dbnary/fra/synchroniser__verb__1						
	A._UND-1	Devenir synchrone.	related	none	Coordonner plusieurs opérations entre elles dans le temps.	
	A._UND-2	Devenu synchrone.	related	none	Coordonner plusieurs opérations entre elles dans le temps.	
	B._2.UND-7	Rendre synchrone le doublage d'un film.	related	none	Coordonner plusieurs opérations entre elles dans le temps.	
	B._2.a)UND-5	Rendre synchrone le son et l'image d'un film.	related	none	Coordonner plusieurs opérations entre elles dans le temps.	
	B._UND-4	Munir les vitesses d'un synchronisateur.	none	none	Coordonner plusieurs opérations entre elles dans le temps.	
	B._UND-8	Action de régler sur une base de temps deux appareils qui doivent recevoir ou émettre des impulsions au même instant	related	related	Coordonner plusieurs opérations entre elles dans le temps.	
	B._UND-9	"Rendre synchrones (deux phénomènes, les mécanismes d'un appareil)."	exact	exact	Coordonner plusieurs opérations entre elles dans le temps.	
	UND-3	Rendre synchrone.	exact	related	Coordonner plusieurs opérations entre elles dans le temps.	
préconiser|verb|						
https://www.cnrtl.fr/definition/67976						
http://kaiko.getalp.org/dbnary/fra/préconiser__verb__1						
	A._UND-1	"Déclarer en consistoire qu'un ecclésiastique choisi par un chef d'État pour un évêché ou une fonction particulière, et dont la nomination est soumise à l'agrément du Saint-Siège, a les qualités requises."	none	none	"(Rare) Louer publiquement, vanter, prôner."	
	A._UND-1	"Déclarer en consistoire qu'un ecclésiastique choisi par un chef d'État pour un évêché ou une fonction particulière, et dont la nomination est soumise à l'agrément du Saint-Siège, a les qualités requises."	none	none	Recommander une chose.	
	A._UND-1	"Déclarer en consistoire qu'un ecclésiastique choisi par un chef d'État pour un évêché ou une fonction particulière, et dont la nomination est soumise à l'agrément du Saint-Siège, a les qualités requises."	none	none	"(Médecine) Vanter l’excellence, l’efficacité d’un remède et en recommander l’emploi."	
	A._UND-1	"Déclarer en consistoire qu'un ecclésiastique choisi par un chef d'État pour un évêché ou une fonction particulière, et dont la nomination est soumise à l'agrément du Saint-Siège, a les qualités requises."	exact	exact	"(Langage ecclésiastique) Déclarer en plein consistoire que tel sujet a été nommé à un évêché et qu’il a toutes les qualités requises, en parlant d’un cardinal ou du pape lui-même."	
	A._UND-4	Vanter excessivement une personne ou une chose.	exact	related	"(Rare) Louer publiquement, vanter, prôner."	
	A._UND-4	Vanter excessivement une personne ou une chose.	related	related	Recommander une chose.	
	A._UND-4	Vanter excessivement une personne ou une chose.	none	none	"(Médecine) Vanter l’excellence, l’efficacité d’un remède et en recommander l’emploi."	
	A._UND-4	Vanter excessivement une personne ou une chose.	none	none	"(Langage ecclésiastique) Déclarer en plein consistoire que tel sujet a été nommé à un évêché et qu’il a toutes les qualités requises, en parlant d’un cardinal ou du pape lui-même."	
	UND-5	Recommander vivement et avec insistance quelque chose (à quelqu'un).	none	related	"(Rare) Louer publiquement, vanter, prôner."	
	UND-5	Recommander vivement et avec insistance quelque chose (à quelqu'un).	exact	related	Recommander une chose.	
	UND-5	Recommander vivement et avec insistance quelque chose (à quelqu'un).	exact	related	"(Médecine) Vanter l’excellence, l’efficacité d’un remède et en recommander l’emploi."	
	UND-5	Recommander vivement et avec insistance quelque chose (à quelqu'un).	none	none	"(Langage ecclésiastique) Déclarer en plein consistoire que tel sujet a été nommé à un évêché et qu’il a toutes les qualités requises, en parlant d’un cardinal ou du pape lui-même."	
hâte|noun|feminine						
https://www.cnrtl.fr/definition/40207						
http://kaiko.getalp.org/dbnary/fra/hâte__nom__1						
	UND-7	"Rapidité, empressement extrême (à faire quelque chose)."	exact	exact	"Extrême promptitude, vivacité, rapidité avec laquelle on fait quelque chose."	http://kaiko.getalp.org/dbnary/fra/__ws_1_hâte__nom__1
réciprocité|noun|feminine						
https://www.cnrtl.fr/definition/72339						
http://kaiko.getalp.org/dbnary/fra/réciprocité__nom__1						
	B._UND-5	"Caractère de deux propositions, de deux états réciproques."	exact	exact	"État, qualité, caractère de ce qui est réciproque."	http://kaiko.getalp.org/dbnary/fra/__ws_1_réciprocité__nom__1
	B._UND-6	Condition à laquelle est fréquemment soumise la reconnaissance de certains droits au profit des étrangers	none	none	"État, qualité, caractère de ce qui est réciproque."	http://kaiko.getalp.org/dbnary/fra/__ws_1_réciprocité__nom__1
	UND-4	"Caractère de ce qui est réciproque, état d'un sentiment, d'une relation, d'une action réciproque."	exact	exact	"État, qualité, caractère de ce qui est réciproque."	http://kaiko.getalp.org/dbnary/fra/__ws_1_réciprocité__nom__1
disperser|verb|						
https://www.cnrtl.fr/definition/27449						
http://kaiko.getalp.org/dbnary/fra/disperser__verb__1						
	I._B._2.UND-5	Mettre en fuite.	related	none	"Répandre, jeter çà et là."	http://kaiko.getalp.org/dbnary/fra/__ws_1_disperser__verb__1
	I._B._2.UND-5	Mettre en fuite.	none	none	"Séparer des personnes ou des choses qui formaient un assemblage et les mettre, les envoyer, les porter en divers lieux."	http://kaiko.getalp.org/dbnary/fra/__ws_2_disperser__verb__1
	I._B._2.UND-5	Mettre en fuite.	exact	exact	"Forcer à s’enfuir de différents côtés, mettre en désordre."	http://kaiko.getalp.org/dbnary/fra/__ws_3_disperser__verb__1
	I._B._2.UND-5	Mettre en fuite.	none	none	"(Pronominal) S'égailler, se diviser, se répandre."	http://kaiko.getalp.org/dbnary/fra/__ws_4_disperser__verb__1
	I._B._2.UND-5	Mettre en fuite.	none	none	"(Pronominal) S’employer à des besognes trop diverses, aborder des genres trop différents."	http://kaiko.getalp.org/dbnary/fra/__ws_5_disperser__verb__1
	I._B._2.a)UND-4	"Les appliquer à trop d'objets différents, au point qu'elles ne manifestent pas d'efficacité."	none	exact	"(Pronominal) S’employer à des besognes trop diverses, aborder des genres trop différents."	http://kaiko.getalp.org/dbnary/fra/__ws_5_disperser__verb__1
	I._B._UND-2	"Répartir en différents endroits ce qui constituait jusqu'alors un ensemble, un groupe."	related	related	"Répandre, jeter çà et là."	http://kaiko.getalp.org/dbnary/fra/__ws_1_disperser__verb__1
	I._B._UND-2	"Répartir en différents endroits ce qui constituait jusqu'alors un ensemble, un groupe."	exact	exact	"Séparer des personnes ou des choses qui formaient un assemblage et les mettre, les envoyer, les porter en divers lieux."	http://kaiko.getalp.org/dbnary/fra/__ws_2_disperser__verb__1
	I._B._UND-2	"Répartir en différents endroits ce qui constituait jusqu'alors un ensemble, un groupe."	none	none	"Forcer à s’enfuir de différents côtés, mettre en désordre."	http://kaiko.getalp.org/dbnary/fra/__ws_3_disperser__verb__1
	I._B._UND-2	"Répartir en différents endroits ce qui constituait jusqu'alors un ensemble, un groupe."	none	related	"(Pronominal) S'égailler, se diviser, se répandre."	http://kaiko.getalp.org/dbnary/fra/__ws_4_disperser__verb__1
	I._B._UND-2	"Répartir en différents endroits ce qui constituait jusqu'alors un ensemble, un groupe."	none	none	"(Pronominal) S’employer à des besognes trop diverses, aborder des genres trop différents."	http://kaiko.getalp.org/dbnary/fra/__ws_5_disperser__verb__1
	I._UND-1	Jeter ou répandre çà et là.	exact	exact	"Répandre, jeter çà et là."	http://kaiko.getalp.org/dbnary/fra/__ws_1_disperser__verb__1
	I._UND-1	Jeter ou répandre çà et là.	none	none	"Séparer des personnes ou des choses qui formaient un assemblage et les mettre, les envoyer, les porter en divers lieux."	http://kaiko.getalp.org/dbnary/fra/__ws_2_disperser__verb__1
	I._UND-1	Jeter ou répandre çà et là.	related	none	"Forcer à s’enfuir de différents côtés, mettre en désordre."	http://kaiko.getalp.org/dbnary/fra/__ws_3_disperser__verb__1
	I._UND-1	Jeter ou répandre çà et là.	none	related	"(Pronominal) S'égailler, se diviser, se répandre."	http://kaiko.getalp.org/dbnary/fra/__ws_4_disperser__verb__1
	I._UND-1	Jeter ou répandre çà et là.	none	none	"(Pronominal) S’employer à des besognes trop diverses, aborder des genres trop différents."	http://kaiko.getalp.org/dbnary/fra/__ws_5_disperser__verb__1
	II._B._UND-10	Se séparer (des autres) en partant vers des endroits différents.	related	none	"Répandre, jeter çà et là."	http://kaiko.getalp.org/dbnary/fra/__ws_1_disperser__verb__1
	II._B._UND-10	Se séparer (des autres) en partant vers des endroits différents.	exact	related	"Séparer des personnes ou des choses qui formaient un assemblage et les mettre, les envoyer, les porter en divers lieux."	http://kaiko.getalp.org/dbnary/fra/__ws_2_disperser__verb__1
	II._B._UND-10	Se séparer (des autres) en partant vers des endroits différents.	none	none	"Forcer à s’enfuir de différents côtés, mettre en désordre."	http://kaiko.getalp.org/dbnary/fra/__ws_3_disperser__verb__1
	II._B._UND-10	Se séparer (des autres) en partant vers des endroits différents.	none	related	"(Pronominal) S'égailler, se diviser, se répandre."	http://kaiko.getalp.org/dbnary/fra/__ws_4_disperser__verb__1
	II._B._UND-10	Se séparer (des autres) en partant vers des endroits différents.	none	none	"(Pronominal) S’employer à des besognes trop diverses, aborder des genres trop différents."	http://kaiko.getalp.org/dbnary/fra/__ws_5_disperser__verb__1
